iter	Passed	Remaining
773	6570	1918
774	6583	1911
775	6589	1902
776	6596	1893
777	6603	1884
778	6612	1875
779	6620	1867
780	6627	1858
781	6633	1849
782	6641	1840
783	6650	1832
784	6657	1823
785	6666	1815
786	6678	1807
787	6685	1798
788	6692	1789
789	6698	1780
790	6708	1772
791	6715	1763
792	6724	1755
793	6732	1746
794	6740	1738
795	6747	1729
796	6756	1720
797	6763	1712
798	6772	1703
799	6778	1694
800	6785	1685
801	6791	1676
802	6804	1669
803	6811	1660
804	6818	1651
805	6827	1643
806	6837	1635
807	6844	1626
808	6850	1617
809	6859	1608
810	6866	1600
811	6873	1591
812	6881	1582
813	6889	1574
814	6897	1565
815	6903	1556
816	6910	1547
817	6917	1539
818	6928	1531
819	6935	1522
820	6942	1513
821	6952	1505
822	6961	1497
823	6968	1488
824	6975	1479
825	6984	1471
826	6991	1462
827	6998	1453
828	7006	1445
829	7014	1436
830	7021	1428
831	7028	1419
832	7034	1410
833	7041	1401
834	7051	1393
835	7058	1384
836	7066	1376
837	7072	1367
838	7082	1359
839	7089	1350
840	7097	1341
841	7104	1333
842	7113	1324
843	7120	1316
844	7127	1307
845	7134	1298
846	7146	1290
847	7153	1282
848	7160	1273
849	7168	1265
850	7175	1256
851	7182	1247
852	7190	1239
853	7196	1230
854	7205	1221
855	7212	1213
856	7219	1204
857	7226	1195
858	7237	1187
859	7244	1179
860	7251	1170
861	7261	1162
862	7269	1153
863	7275	1145
864	7283	1136
865	7292	1128
866	7300	1119
867	7306	1111
868	7313	1102
869	7320	1093
870	7329	1085
871	7335	1076
872	7343	1068
873	7350	1059
874	7359	1051
875	7365	1042
876	7372	1033
877	7379	1025
878	7389	1017
879	7396	1008
880	7404	1000
881	7410	991
882	7421	983
883	7428	974
884	7435	966
885	7442	957
886	7451	949
887	7457	940
888	7466	932
889	7474	923
890	7522	920
891	7530	911
892	7537	903
893	7547	894
894	7554	886
895	7561	877
896	7568	869
897	7576	860
898	7583	851
899	7591	843
900	7598	834
901	7610	826
902	7617	818
903	7624	809
904	7632	801
905	7642	792
906	7649	784
907	7656	775
908	7665	767
909	7676	759
910	7682	750
911	7689	741
912	7700	733
913	7707	725
914	7714	716
915	7721	708
916	7729	699
917	7736	691
918	7744	682
919	7751	674
920	7759	665
921	7768	657
922	7775	648
923	7782	640
924	7792	631
925	7798	623
926	7805	614
927	7812	606
928	7821	597
929	7830	589
930	7837	580
931	7845	572
932	7854	564
933	7862	555
934	7869	547
935	7875	538
936	7884	530
937	7892	521
938	7899	513
939	7905	504
940	7914	496
941	7923	487
942	7931	479
943	7938	470
944	7946	462
945	7953	454
946	7960	445
947	7967	437
948	7976	428
949	7984	420
950	7990	411
951	7999	403
952	8009	395
953	8017	386
954	8023	378
955	8030	369
956	8039	361
957	8047	352
958	8053	344
959	8060	335
960	8070	327
961	8080	319
962	8090	310
963	8099	302
964	8107	294
965	8131	286
966	8144	277
967	8151	269
968	8157	260
969	8168	252
970	8175	244
971	8182	235
972	8191	227
973	8199	218
974	8206	210
975	8213	201
976	8223	193
977	8234	185
978	8241	176
979	8248	168
980	8257	159
981	8265	151
982	8274	143
983	8281	134
984	8290	126
985	8298	117
986	8308	109
987	8317	101
988	8324	92
989	8331	84
990	8338	75
991	8347	67
992	8354	58
993	8361	50
994	8369	42
995	8377	33
996	8385	25
997	8393	16
998	8401	8
999	8412	0
