time,event,signal_name1,value
2024-04-10T16:04:58,Signal,FIB_EMA_CROSS,
2024-04-10T16:23:22,Signal,FIB_EMA_CROSS,
2024-04-10T16:26:12,Signal,FIB_EMA_CROSS,
2024-04-10T16:32:09,Signal,FIB_EMA_CROSS,
2024-04-10T16:51:24,Signal,FIB_EMA_CROSS,
2024-04-10T17:01:34,Signal,FIB_EMA_CROSS,
2024-04-10T17:08:30,Signal,FIB_EMA_CROSS,
2024-04-10T17:37:00,Signal,FIB_EMA_CROSS,
2024-04-10T19:03:50,Signal,FIB_EMA_CROSS,
2024-04-10T19:25:09,Signal,FIB_EMA_CROSS,
2024-04-10T19:31:53,Signal,FIB_EMA_CROSS,
2024-04-10T19:35:14,Signal,FIB_EMA_CROSS,
2024-04-10T19:44:04,Signal,FIB_EMA_CROSS,
2024-04-10T19:50:49,Signal,FIB_EMA_CROSS,
2024-04-10T19:58:05,Signal,FIB_EMA_CROSS,
2024-04-10T20:00:05,Signal,FIB_EMA_CROSS,
2024-04-10T20:10:33,Signal,FIB_EMA_CROSS,
2024-04-10T20:21:27,Signal,FIB_EMA_CROSS,
2024-04-10T20:28:22,Signal,FIB_EMA_CROSS,
2024-04-10T20:33:00,Signal,FIB_EMA_CROSS,
2024-04-10T21:01:47,Signal,FIB_EMA_CROSS,
2024-04-10T21:55:58,Signal,FIB_EMA_CROSS,
2024-04-11T00:00:01,Signal,FIB_EMA_CROSS,
2024-04-11T02:06:04,Signal,FIB_EMA_CROSS,
2024-04-11T03:22:34,Signal,FIB_EMA_CROSS,
2024-04-11T09:17:46,Signal,FIB_EMA_CROSS,
2024-04-11T10:01:39,Signal,FIB_EMA_CROSS,
2024-04-11T11:51:07,Signal,FIB_EMA_CROSS,
2024-04-11T13:05:32,Signal,FIB_EMA_CROSS,
2024-04-11T13:31:22,Signal,FIB_EMA_CROSS,
2024-04-11T14:20:09,Signal,FIB_EMA_CROSS,
2024-04-11T14:30:02,Signal,FIB_EMA_CROSS,
2024-04-11T14:46:22,Signal,FIB_EMA_CROSS,
2024-04-11T15:03:01,Signal,FIB_EMA_CROSS,
2024-04-11T15:43:46,Signal,FIB_EMA_CROSS,
2024-04-11T15:46:29,Signal,FIB_EMA_CROSS,
2024-04-11T15:53:39,Signal,FIB_EMA_CROSS,
2024-04-11T15:56:40,Signal,FIB_EMA_CROSS,
2024-04-11T15:59:47,Signal,FIB_EMA_CROSS,
2024-04-11T16:05:50,Signal,FIB_EMA_CROSS,
2024-04-11T16:15:04,Signal,FIB_EMA_CROSS,
2024-04-11T18:27:52,Signal,FIB_EMA_CROSS,
